INT	INT
id	next_exp
1	21
2	28
3	47
4	84
5	145
6	236
7	363
8	532
9	749
10	1020
11	1351
12	1748
13	2217
14	2764
15	3395
16	4116
17	4933
18	5852
19	6879
20	8020
21	9281
22	10668
23	12187
24	13844
25	15645
26	17596
27	19703
28	21972
29	24409
30	27020
31	29811
32	32788
33	35957
34	39324
35	42895
36	46676
37	50673
38	54892
39	59339
40	64020
41	68941
42	74108
43	79527
44	85204
45	91145
46	97356
47	103843
48	110612
49	117669
50	125020
51	132671
52	140628
53	148897
54	157484
55	166395
56	175636
57	185213
58	195132
59	205399
60	0
