INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	group_id	typeid	param	count	seed	lucky_add	lucky_full	seed_change	combine_group
1	100001	5	101000	1	10	0	0	0	0
2	100001	5	102000	1	10	0	0	0	0
3	100001	5	103000	1	10	0	0	0	0
4	100001	5	104000	1	10	0	0	0	0
5	100001	5	104001	1	10	0	0	0	0
6	100001	5	105000	1	10	0	0	0	0
7	100001	5	105001	1	10	0	0	0	0
8	100001	5	106000	1	10	0	0	0	0
9	100001	5	106001	1	10	0	0	0	0
10	100001	5	107000	1	10	0	0	0	0
11	100001	5	108000	1	10	0	0	0	0
12	100001	5	109000	1	10	0	0	0	0
13	100001	5	110000	1	10	0	0	0	0
14	100001	5	111000	1	10	0	0	0	0
15	100001	5	112000	1	10	0	0	0	0
16	100001	7	10001	1	10	0	0	0	0
17	100001	7	10002	1	10	0	0	0	0
18	100001	7	10003	1	10	0	0	0	0
19	100001	7	10004	1	10	0	0	0	0
